Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 19, 2018",2730.74,2733.16,2681.09,2690.73,2690.73,3772900000
"Nov 16, 2018",2718.54,2746.75,2712.16,2736.27,2736.27,3975180000
"Nov 15, 2018",2693.52,2735.38,2670.75,2730.2,2730.2,4179140000
"Nov 14, 2018",2737.9,2746.8,2685.75,2701.58,2701.58,4402370000
"Nov 13, 2018",2730.05,2754.6,2714.98,2722.18,2722.18,4091440000
"Nov 12, 2018",2773.93,2775.99,2722,2726.22,2726.22,3670930000
"Nov 09, 2018",2794.1,2794.1,2764.24,2781.01,2781.01,4019090000
"Nov 08, 2018",2806.38,2814.75,2794.99,2806.83,2806.83,3630490000
"Nov 07, 2018",2774.13,2815.15,2774.13,2813.89,2813.89,3914750000
"Nov 06, 2018",2738.4,2756.82,2737.08,2755.45,2755.45,3510860000
"Nov 05, 2018",2726.37,2744.27,2717.94,2738.31,2738.31,3623320000
"Nov 02, 2018",2745.45,2756.55,2700.44,2723.06,2723.06,4237930000
"Nov 01, 2018",2717.58,2741.67,2708.85,2740.37,2740.37,4708420000
"Oct 31, 2018",2705.6,2736.69,2705.6,2711.74,2711.74,5112420000
"Oct 30, 2018",2640.68,2685.43,2635.34,2682.63,2682.63,5106380000
"Oct 29, 2018",2682.65,2706.85,2603.54,2641.25,2641.25,4673700000
"Oct 26, 2018",2667.86,2692.38,2628.16,2658.69,2658.69,4803150000
"Oct 25, 2018",2674.88,2722.7,2667.84,2705.57,2705.57,4634770000
"Oct 24, 2018",2737.87,2742.59,2651.89,2656.1,2656.1,4709310000
"Oct 23, 2018",2721.03,2753.59,2691.43,2740.69,2740.69,4348580000
"Oct 22, 2018",2773.94,2778.94,2749.22,2755.88,2755.88,3307140000
"Oct 19, 2018",2775.66,2797.77,2760.27,2767.78,2767.78,3566490000
"Oct 18, 2018",2802,2806.04,2755.18,2768.78,2768.78,3616440000
"Oct 17, 2018",2811.67,2816.94,2781.81,2809.21,2809.21,3321710000
"Oct 16, 2018",2767.05,2813.46,2766.91,2809.92,2809.92,3428340000
"Oct 15, 2018",2763.83,2775.99,2749.03,2750.79,2750.79,3300140000
"Oct 12, 2018",2770.54,2775.77,2729.44,2767.13,2767.13,3966040000
"Oct 11, 2018",2776.87,2795.14,2710.51,2728.37,2728.37,4890630000
"Oct 10, 2018",2873.9,2874.02,2784.86,2785.68,2785.68,4501250000
"Oct 09, 2018",2882.51,2894.83,2874.27,2880.34,2880.34,3520500000
"Oct 08, 2018",2877.53,2889.45,2862.08,2884.43,2884.43,3330320000
"Oct 05, 2018",2902.54,2909.64,2869.29,2885.57,2885.57,3328980000
"Oct 04, 2018",2919.35,2919.78,2883.92,2901.61,2901.61,3496860000
"Oct 03, 2018",2931.69,2939.86,2921.36,2925.51,2925.51,3598710000
"Oct 02, 2018",2923.8,2931.42,2919.37,2923.43,2923.43,3401880000
"Oct 01, 2018",2926.29,2937.06,2917.91,2924.59,2924.59,3364190000
"Sep 28, 2018",2910.03,2920.53,2907.5,2913.98,2913.98,3432300000
"Sep 27, 2018",2911.65,2927.22,2909.27,2914,2914,3060850000
"Sep 26, 2018",2916.98,2931.15,2903.28,2905.97,2905.97,3388620000
"Sep 25, 2018",2921.75,2923.95,2913.7,2915.56,2915.56,3285480000
"Sep 24, 2018",2921.83,2923.79,2912.63,2919.37,2919.37,3372210000
"Sep 21, 2018",2936.76,2940.91,2927.11,2929.67,2929.67,5607610000
"Sep 20, 2018",2919.73,2934.8,2919.73,2930.75,2930.75,3337730000
"Sep 19, 2018",2906.6,2912.36,2903.82,2907.95,2907.95,3280020000
"Sep 18, 2018",2890.74,2911.17,2890.43,2904.31,2904.31,3074610000
"Sep 17, 2018",2903.83,2904.65,2886.16,2888.8,2888.8,2947760000
"Sep 14, 2018",2906.38,2908.3,2895.77,2904.98,2904.98,3149800000
"Sep 13, 2018",2896.85,2906.76,2896.39,2904.18,2904.18,3254930000
"Sep 12, 2018",2888.29,2894.65,2879.2,2888.92,2888.92,3264930000
"Sep 11, 2018",2871.57,2892.52,2866.78,2887.89,2887.89,2899660000
"Sep 10, 2018",2881.39,2886.93,2875.94,2877.13,2877.13,2731400000
"Sep 07, 2018",2868.26,2883.81,2864.12,2871.68,2871.68,2946270000
"Sep 06, 2018",2888.64,2892.05,2867.29,2878.05,2878.05,3139590000
"Sep 05, 2018",2891.59,2894.21,2876.92,2888.6,2888.6,3241250000
"Sep 04, 2018",2896.96,2900.18,2885.13,2896.72,2896.72,3077060000
"Aug 31, 2018",2898.37,2906.32,2891.73,2901.52,2901.52,2880260000
"Aug 30, 2018",2908.94,2912.46,2895.22,2901.13,2901.13,2802180000
"Aug 29, 2018",2900.62,2916.5,2898.4,2914.04,2914.04,2791860000
"Aug 28, 2018",2901.45,2903.77,2893.5,2897.52,2897.52,2683190000
"Aug 27, 2018",2884.69,2898.25,2884.69,2896.74,2896.74,2854080000
"Aug 24, 2018",2862.35,2876.16,2862.35,2874.69,2874.69,2596190000
"Aug 23, 2018",2860.29,2868.78,2854.03,2856.98,2856.98,2713910000
"Aug 22, 2018",2860.99,2867.54,2856.05,2861.82,2861.82,2689560000
"Aug 21, 2018",2861.51,2873.23,2861.32,2862.96,2862.96,3147140000
"Aug 20, 2018",2853.93,2859.76,2850.62,2857.05,2857.05,2748020000
"Aug 17, 2018",2838.32,2855.63,2833.73,2850.13,2850.13,3024100000
"Aug 16, 2018",2831.44,2850.49,2831.44,2840.69,2840.69,3219880000
"Aug 15, 2018",2827.95,2827.95,2802.49,2818.37,2818.37,3645070000
"Aug 14, 2018",2827.88,2843.11,2826.58,2839.96,2839.96,2976970000
