,Date,Open,High,Low,Close*,Adj Close**,Volume
226,"Sep 21, 2015",1960.84,1979.64,1955.8,1966.97,1966.97,3269350000.0
227,"Sep 18, 2015",1989.66,1989.66,1953.45,1958.03,1958.03,6021240000.0
228,"Sep 17, 2015",1995.33,2020.86,1986.73,1990.2,1990.2,4183790000.0
229,"Sep 16, 2015",1978.02,1997.26,1977.93,1995.31,1995.31,3630680000.0
230,"Sep 15, 2015",1955.1,1983.19,1954.3,1978.09,1978.09,3239860000.0
231,"Sep 14, 2015",1963.06,1963.06,1948.27,1953.03,1953.03,3000200000.0
232,"Sep 11, 2015",1951.45,1961.05,1939.19,1961.05,1961.05,3218590000.0
233,"Sep 10, 2015",1941.59,1965.29,1937.19,1952.29,1952.29,3626320000.0
234,"Sep 09, 2015",1971.45,1988.63,1937.88,1942.04,1942.04,3652120000.0
235,"Sep 08, 2015",1927.3,1970.42,1927.3,1969.41,1969.41,3548650000.0
236,"Sep 04, 2015",1947.76,1947.76,1911.21,1921.22,1921.22,3167090000.0
237,"Sep 03, 2015",1950.79,1975.01,1944.72,1951.13,1951.13,3520700000.0
238,"Sep 02, 2015",1916.52,1948.91,1916.52,1948.86,1948.86,3742620000.0
239,"Sep 01, 2015",1970.09,1970.09,1903.07,1913.85,1913.85,4371850000.0
240,"Aug 31, 2015",1986.73,1986.73,1965.98,1972.18,1972.18,3915100000.0
241,"Aug 28, 2015",1986.06,1993.48,1975.19,1988.87,1988.87,3949080000.0
242,"Aug 27, 2015",1942.77,1989.6,1942.77,1987.66,1987.66,5006390000.0
243,"Aug 26, 2015",1872.75,1943.09,1872.75,1940.51,1940.51,5338250000.0
244,"Aug 25, 2015",1898.08,1948.04,1867.08,1867.61,1867.61,5183560000.0
245,"Aug 24, 2015",1965.15,1965.15,1867.01,1893.21,1893.21,6612690000.0
246,"Aug 21, 2015",2034.08,2034.08,1970.89,1970.89,1970.89,5018240000.0
247,"Aug 20, 2015",2076.61,2076.61,2035.73,2035.73,2035.73,3922470000.0
248,"Aug 19, 2015",2095.69,2096.17,2070.53,2079.61,2079.61,3512920000.0
249,"Aug 18, 2015",2101.99,2103.47,2094.14,2096.92,2096.92,2949990000.0
250,"Aug 17, 2015",2089.7,2102.87,2079.3,2102.44,2102.44,2867690000.0
251,"Aug 14, 2015",2083.15,2092.45,2080.61,2091.54,2091.54,2795590000.0
252,"Aug 13, 2015",2086.19,2092.93,2078.26,2083.39,2083.39,3221300000.0
253,"Aug 12, 2015",2081.1,2089.06,2052.09,2086.05,2086.05,4269130000.0
254,"Aug 11, 2015",2102.66,2102.66,2076.49,2084.07,2084.07,3708880000.0
255,"Aug 10, 2015",2080.98,2105.35,2080.98,2104.18,2104.18,3514460000.0
256,"Aug 07, 2015",2082.61,2082.61,2067.91,2077.57,2077.57,3602320000.0
257,"Aug 06, 2015",2100.75,2103.32,2075.53,2083.56,2083.56,4246570000.0
258,"Aug 05, 2015",2095.27,2112.66,2095.27,2099.84,2099.84,3968680000.0
259,"Aug 04, 2015",2097.68,2102.51,2088.6,2093.32,2093.32,3546710000.0
260,"Aug 03, 2015",2104.49,2105.7,2087.31,2098.04,2098.04,3476770000.0
261,"Jul 31, 2015",2111.6,2114.24,2102.07,2103.84,2103.84,3681340000.0
262,"Jul 30, 2015",2106.78,2110.48,2094.97,2108.63,2108.63,3579410000.0
263,"Jul 29, 2015",2094.7,2110.6,2094.08,2108.57,2108.57,4038900000.0
264,"Jul 28, 2015",2070.75,2095.6,2069.09,2093.25,2093.25,4117740000.0
265,"Jul 27, 2015",2078.19,2078.19,2063.52,2067.64,2067.64,3836750000.0
266,"Jul 24, 2015",2102.24,2106.01,2077.09,2079.65,2079.65,3870040000.0
267,"Jul 23, 2015",2114.16,2116.87,2098.63,2102.15,2102.15,3772810000.0
268,"Jul 22, 2015",2118.21,2118.51,2110.0,2114.15,2114.15,3694070000.0
269,"Jul 21, 2015",2127.55,2128.49,2115.4,2119.21,2119.21,3343690000.0
270,"Jul 20, 2015",2126.85,2132.82,2123.66,2128.28,2128.28,3245870000.0
271,"Jul 17, 2015",2126.8,2128.91,2119.88,2126.64,2126.64,3362750000.0
272,"Jul 16, 2015",2110.55,2124.42,2110.55,2124.29,2124.29,3227080000.0
273,"Jul 15, 2015",2109.01,2114.14,2102.49,2107.4,2107.4,3261810000.0
274,"Jul 14, 2015",2099.72,2111.98,2098.18,2108.95,2108.95,3002120000.0
275,"Jul 13, 2015",2080.03,2100.67,2080.03,2099.6,2099.6,3096730000.0
276,"Jul 10, 2015",2052.74,2081.31,2052.74,2076.62,2076.62,3065070000.0
277,"Jul 09, 2015",2049.73,2074.28,2049.73,2051.31,2051.31,3446810000.0
278,"Jul 08, 2015",2077.66,2077.66,2044.66,2046.68,2046.68,3608780000.0
279,"Jul 07, 2015",2069.52,2083.74,2044.02,2081.34,2081.34,4458660000.0
280,"Jul 06, 2015",2073.95,2078.61,2058.4,2068.76,2068.76,3486360000.0
281,"Jul 02, 2015",2078.03,2085.06,2071.02,2076.78,2076.78,2996540000.0
282,"Jul 01, 2015",2067.0,2082.78,2067.0,2077.42,2077.42,3727260000.0
283,"Jun 30, 2015",2061.19,2074.28,2056.32,2063.11,2063.11,4078540000.0
284,"Jun 29, 2015",2098.63,2098.63,2056.64,2057.64,2057.64,3678960000.0
285,"Jun 26, 2015",2102.62,2108.92,2095.38,2101.49,2101.49,5025470000.0
